id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
2,PCA3,15,AAVEUSDT,2026-04-02 14:59:00+00:00,2026-04-02 15:01:00+00:00,2026-04-02 16:31:00+00:00,10003.283919312084,9981.934434333281,9937.056821090224,19.351430931593164,3.983798251084701,0.15793440094778294,15.367632680508464,15.525567081456247,90.0,2.126109864051825,mean
1,PCA3,15,UNIUSDT,2026-04-02 13:59:00+00:00,2026-04-02 14:01:00+00:00,2026-04-02 17:01:00+00:00,10000.0,9988.7016306607,10155.041628109251,60.651494882999586,4.02874865175399,1.166185184440454,56.6227462312456,57.78893141568605,180.0,-4.393566258829047,mean
3,PCA3,15,NEARUSDT,2026-04-03 07:14:00+00:00,2026-04-03 07:16:00+00:00,2026-04-03 11:31:00+00:00,10007.331449849717,10010.849611902038,10073.19208555717,-60.69325838383834,4.016808339491842,0.08466759117421405,-64.71006672333019,-64.62539913215598,255.0,2.173689352250617,timeout
4,PCA3,15,AAVEUSDT,2026-04-05 14:29:00+00:00,2026-04-05 14:31:00+00:00,2026-04-05 15:16:00+00:00,10000.8689099365,10003.98849255226,10017.893481675706,24.23163696848503,4.004376394845593,0.0,20.227260573639438,20.227260573639438,45.0,-2.066014382730804,mean
5,PCA3,15,AVAXUSDT,2026-04-06 00:59:00+00:00,2026-04-06 01:01:00+00:00,2026-04-06 04:01:00+00:00,10002.891635993865,10067.822815938269,10047.79451915579,62.82525722430116,4.023123467018812,0.0,58.80213375728235,58.80213375728235,180.0,3.2597679717289374,mean
6,PCA3,15,SUIUSDT,2026-04-06 10:29:00+00:00,2026-04-06 10:31:00+00:00,2026-04-06 11:31:00+00:00,10008.771849369594,10023.791274500256,9944.483281610888,52.75142639875066,3.9936549112222286,0.0,48.75777148752843,48.75777148752843,60.0,2.218964727490748,mean
7,PCA3,15,FILUSDT,2026-04-06 12:14:00+00:00,2026-04-06 12:16:00+00:00,2026-04-06 14:01:00+00:00,10013.647626518348,10008.642160604117,9909.127633737375,26.87889548286787,3.983553958868298,0.0,22.89534152399957,22.89534152399957,105.0,2.23663474459136,mean
8,PCA3,15,AAVEUSDT,2026-04-06 16:59:00+00:00,2026-04-06 17:01:00+00:00,2026-04-06 20:16:00+00:00,10015.937160670748,10013.20734734591,10000.45383691848,0.08312128528396201,4.002732236852878,0.0,-3.9196109515689157,-3.9196109515689157,195.0,-2.2182000972884657,mean
9,PCA3,15,AVAXUSDT,2026-04-06 23:29:00+00:00,2026-04-06 23:31:00+00:00,2026-04-07 03:46:00+00:00,10015.54519957559,10004.645741801163,9933.231414288308,-91.14410838195876,3.9875754312178944,-0.22816678316341066,-95.13168381317665,-95.35985059634007,255.0,-2.096252073609382,timeout
10,PCA3,15,AAVEUSDT,2026-04-07 10:14:00+00:00,2026-04-07 10:16:00+00:00,2026-04-07 13:46:00+00:00,10006.009214515958,10012.941078325735,9803.935007959928,-126.44099306195355,3.9633752172571324,0.0,-130.4043682792107,-130.4043682792107,210.0,-2.0149734396931986,mean
