rank,month,start_equity,end_equity,return,min_equity
1,2026-03,100000.0,99647.16552056604,-0.0035283447943396107,99642.00274757894
1,2026-04,99647.16552056604,99829.6491806882,0.00183129805217086,98780.5774580525
1,2026-05,99829.6491806882,100343.9402464564,0.00515168659801013,99093.86052559156
1,2026-06,100343.9402464564,101635.19729773738,0.012868311211513994,99411.94987179492
1,2026-07,101635.19729773738,102157.22927964455,0.0051363306786123,101338.00997195327
1,2026-08,102157.22927964455,101157.65429619855,-0.009784672024627517,100867.38805013087
2,2026-03,100000.0,100282.04774021186,0.0028204774021185486,99885.95894445512
2,2026-04,100282.04774021186,100791.03068791528,0.0050755141041991525,100256.01082454796
2,2026-05,100791.03068791528,99571.9590112603,-0.012095041278322172,99564.28902538602
2,2026-06,99571.9590112603,99446.26120832415,-0.0012623815397860838,99062.996661461
2,2026-07,99446.26120832415,99482.8598978394,0.00036802479118414055,99119.56736570572
2,2026-08,99482.8598978394,98263.63004825664,-0.012255677519070196,97798.57552687968
3,2026-03,100000.0,100000.0,0.0,100000.0
3,2026-04,100000.0,100186.4367650596,0.001864367650596055,99830.19993957474
3,2026-05,100186.4367650596,99215.06264798374,-0.009695664886792632,99083.49548240835
3,2026-06,99215.06264798374,99081.73245856327,-0.0013438502769838045,98910.04582812768
3,2026-07,99081.73245856327,99464.45264324636,0.0038626715054981275,99046.57295320134
3,2026-08,99464.45264324636,98451.4136767554,-0.01018493481409355,98354.28470941818
