start_equity,end_equity,interval_return,daily_sharpe_sqrt365,max_drawdown,trades,gross_price_pnl,fees,slippage,funding,turnover,break_even_one_way_bp,model,pca_k,entry_sigma,hold_hours,cost_bp
100000,55376.95424714244,-0.4462304575285756,-3.665238148295204,-0.5004012231536703,1160,-12122.68546195384,32500.36029090365,0.0,,46429086.12986235,-2.6110110003127422,B0,0,3,4,7
100000,777.3695462840496,-0.9922263045371597,0.5120511722928053,-1.0375237632298606,3785,6775.000222546394,105997.63067626231,0.0,,151425186.68037474,0.4474156757585467,B0,0,2,1,7
100000,50902.33912698202,-0.4909766087301798,-3.5768809188018604,-0.5538532376228567,2483,20439.609739808468,69537.27061282647,0.0,,99338958.01832354,2.05756232474658,B0,0,2,24,7
100000,13774.885735491556,-0.8622511426450844,-14.1180368280462,-0.8628615630386545,2975,-2924.784785351309,83300.32947915714,0.0,,119000470.6845102,-0.245779261924551,B2,1,2,4,7
100000,20625.19376325893,-0.7937480623674107,-15.589096891387353,-0.7937650076972946,2842,207.8728358507799,79582.67907259193,0.0,,113689541.5322742,0.0182842531554909,B2,5,2,4,7
