rank,strategy,period,target,trades,net_pnl_including_funding,win_rate
2,v3_selected_2_PEER_15m_2bp,valid,SOLUSDT,52,59.850968781583646,0.6153846153846154
2,v3_selected_2_PEER_15m_2bp,valid,SUIUSDT,57,-971.859188383891,0.43859649122807015
2,v3_selected_2_PEER_15m_2bp,valid,TRXUSDT,47,1018.587906364088,0.723404255319149
2,v3_selected_2_PEER_15m_2bp,valid,UNIUSDT,58,-718.6560576879313,0.5517241379310345
2,v3_selected_2_PEER_15m_2bp,valid,XLMUSDT,52,-1831.4587420596633,0.5961538461538461
2,v3_selected_2_PEER_15m_2bp,valid,XRPUSDT,42,-220.26355882717198,0.47619047619047616
2,v3_selected_2_PEER_15m_2bp,holdout,AAVEUSDT,53,55.98644894218231,0.5471698113207547
2,v3_selected_2_PEER_15m_2bp,holdout,ADAUSDT,55,-792.2628742678011,0.5636363636363636
2,v3_selected_2_PEER_15m_2bp,holdout,AVAXUSDT,38,-381.8393704623066,0.5526315789473685
2,v3_selected_2_PEER_15m_2bp,holdout,BCHUSDT,50,-373.3914292602051,0.6
2,v3_selected_2_PEER_15m_2bp,holdout,BNBUSDT,41,-137.579590609973,0.4878048780487805
2,v3_selected_2_PEER_15m_2bp,holdout,BTCUSDT,32,-422.34088194589066,0.46875
2,v3_selected_2_PEER_15m_2bp,holdout,DOGEUSDT,41,-361.4950308459827,0.5853658536585366
2,v3_selected_2_PEER_15m_2bp,holdout,DOTUSDT,49,-244.98846553435044,0.5102040816326531
2,v3_selected_2_PEER_15m_2bp,holdout,ETHUSDT,38,-336.4202199294631,0.5
2,v3_selected_2_PEER_15m_2bp,holdout,FILUSDT,49,-148.73469356282257,0.6122448979591837
2,v3_selected_2_PEER_15m_2bp,holdout,HBARUSDT,52,250.00200939893492,0.6538461538461539
2,v3_selected_2_PEER_15m_2bp,holdout,LINKUSDT,58,-199.40300846613854,0.5172413793103449
2,v3_selected_2_PEER_15m_2bp,holdout,LTCUSDT,54,167.49662451036386,0.6851851851851852
2,v3_selected_2_PEER_15m_2bp,holdout,NEARUSDT,72,249.7476741511502,0.6388888888888888
2,v3_selected_2_PEER_15m_2bp,holdout,SOLUSDT,47,-140.60560914094089,0.5319148936170213
2,v3_selected_2_PEER_15m_2bp,holdout,SUIUSDT,51,276.92227330324454,0.5882352941176471
2,v3_selected_2_PEER_15m_2bp,holdout,TRXUSDT,36,341.31457842084416,0.7222222222222222
2,v3_selected_2_PEER_15m_2bp,holdout,UNIUSDT,62,-1225.7746298755908,0.532258064516129
2,v3_selected_2_PEER_15m_2bp,holdout,XLMUSDT,48,178.69114719951614,0.75
2,v3_selected_2_PEER_15m_2bp,holdout,XRPUSDT,47,-300.5432793105732,0.5531914893617021
3,v3_selected_3_MEDIAN_15m_2bp,valid,AAVEUSDT,64,-203.04736384401042,0.6875
3,v3_selected_3_MEDIAN_15m_2bp,valid,ADAUSDT,36,-392.8894202419215,0.5833333333333334
3,v3_selected_3_MEDIAN_15m_2bp,valid,AVAXUSDT,55,579.6942593117525,0.6727272727272727
3,v3_selected_3_MEDIAN_15m_2bp,valid,BCHUSDT,51,-75.0731555676714,0.6862745098039216
3,v3_selected_3_MEDIAN_15m_2bp,valid,BNBUSDT,43,-209.1674221141492,0.6511627906976745
3,v3_selected_3_MEDIAN_15m_2bp,valid,BTCUSDT,43,-133.38024392351394,0.5348837209302325
3,v3_selected_3_MEDIAN_15m_2bp,valid,DOGEUSDT,46,-30.65138837815997,0.5652173913043478
3,v3_selected_3_MEDIAN_15m_2bp,valid,DOTUSDT,55,21.71806711536319,0.6545454545454545
3,v3_selected_3_MEDIAN_15m_2bp,valid,ETHUSDT,40,-229.02110829122012,0.5
3,v3_selected_3_MEDIAN_15m_2bp,valid,FILUSDT,50,-269.3121811208443,0.64
3,v3_selected_3_MEDIAN_15m_2bp,valid,HBARUSDT,62,182.24075656792007,0.7096774193548387
3,v3_selected_3_MEDIAN_15m_2bp,valid,LINKUSDT,46,-69.57794754531413,0.5434782608695652
3,v3_selected_3_MEDIAN_15m_2bp,valid,LTCUSDT,46,198.9471612704844,0.6086956521739131
3,v3_selected_3_MEDIAN_15m_2bp,valid,NEARUSDT,70,-766.7686407402077,0.6285714285714286
3,v3_selected_3_MEDIAN_15m_2bp,valid,SOLUSDT,60,-17.831503485479672,0.5833333333333334
3,v3_selected_3_MEDIAN_15m_2bp,valid,SUIUSDT,50,-818.6447805943794,0.48
3,v3_selected_3_MEDIAN_15m_2bp,valid,TRXUSDT,46,807.0141933013753,0.7391304347826086
3,v3_selected_3_MEDIAN_15m_2bp,valid,UNIUSDT,53,-861.1022140440809,0.4716981132075472
3,v3_selected_3_MEDIAN_15m_2bp,valid,XLMUSDT,55,-2770.472530492465,0.5454545454545454
3,v3_selected_3_MEDIAN_15m_2bp,valid,XRPUSDT,42,-116.26467801148408,0.5238095238095238
3,v3_selected_3_MEDIAN_15m_2bp,holdout,AAVEUSDT,55,8.563204567136125,0.5454545454545454
3,v3_selected_3_MEDIAN_15m_2bp,holdout,ADAUSDT,51,-341.2750921581992,0.6470588235294118
3,v3_selected_3_MEDIAN_15m_2bp,holdout,AVAXUSDT,31,-439.28076539050903,0.45161290322580644
3,v3_selected_3_MEDIAN_15m_2bp,holdout,BCHUSDT,46,-378.89347440044804,0.5869565217391305
3,v3_selected_3_MEDIAN_15m_2bp,holdout,BNBUSDT,47,-183.8774755949814,0.5319148936170213
3,v3_selected_3_MEDIAN_15m_2bp,holdout,BTCUSDT,34,-161.89600075342275,0.47058823529411764
3,v3_selected_3_MEDIAN_15m_2bp,holdout,DOGEUSDT,36,-530.5267128845866,0.4722222222222222
3,v3_selected_3_MEDIAN_15m_2bp,holdout,DOTUSDT,45,-148.18654861826974,0.5555555555555556
3,v3_selected_3_MEDIAN_15m_2bp,holdout,ETHUSDT,36,-326.49963821976297,0.4722222222222222
3,v3_selected_3_MEDIAN_15m_2bp,holdout,FILUSDT,51,-41.55962413520831,0.6862745098039216
3,v3_selected_3_MEDIAN_15m_2bp,holdout,HBARUSDT,60,236.408879927272,0.65
3,v3_selected_3_MEDIAN_15m_2bp,holdout,LINKUSDT,55,-350.17497323624724,0.5272727272727272
3,v3_selected_3_MEDIAN_15m_2bp,holdout,LTCUSDT,59,200.5379017925954,0.6779661016949152
3,v3_selected_3_MEDIAN_15m_2bp,holdout,NEARUSDT,64,463.48235113782823,0.703125
3,v3_selected_3_MEDIAN_15m_2bp,holdout,SOLUSDT,56,-129.35296117531948,0.5714285714285714
3,v3_selected_3_MEDIAN_15m_2bp,holdout,SUIUSDT,53,288.87445792553075,0.5660377358490566
3,v3_selected_3_MEDIAN_15m_2bp,holdout,TRXUSDT,33,221.59362001526728,0.6363636363636364
3,v3_selected_3_MEDIAN_15m_2bp,holdout,UNIUSDT,60,-1448.0806455934428,0.5
