model,signal,entry_time,exit_time,gross,turnover,price_pnl,fee,slippage,funding,net_pnl,reason
B0,DOTUSDT,2026-03-02 00:41:00+00:00,2026-03-02 02:16:00+00:00,20000.0,40051.44694533762,-51.44694533761867,28.03601286173633,0.0,,-79.48295819935501,mean
B0,TRXUSDT,2026-03-02 01:26:00+00:00,2026-03-02 02:31:00+00:00,20000.0,39968.736677561465,31.263322438539035,27.978115674293026,0.0,,3.285206764246009,mean
B0,NEARUSDT,2026-03-02 03:26:00+00:00,2026-03-02 04:56:00+00:00,20000.0,39816.053511705686,183.9464882943139,27.87123745819398,0.0,,156.07525083611992,mean
B0,NEARUSDT,2026-03-02 05:51:00+00:00,2026-03-02 06:06:00+00:00,20000.0,39606.23461853979,393.7653814602163,27.72436423297785,0.0,,366.04101722723846,mean
B0,BTCUSDT,2026-03-02 07:21:00+00:00,2026-03-02 08:16:00+00:00,20000.0,40131.59219846252,131.59219846252017,28.092114538923763,0.0,,103.5000839235964,mean
B0,BCHUSDT,2026-03-02 08:26:00+00:00,2026-03-02 09:21:00+00:00,20000.0,40300.99263528659,300.9926352865841,28.21069484470061,0.0,,272.78194044188353,mean
B0,DOTUSDT,2026-03-02 06:21:00+00:00,2026-03-02 10:11:00+00:00,20000.0,39842.20907297831,-157.7909270216951,27.889546351084817,0.0,,-185.68047337277991,mean
B0,NEARUSDT,2026-03-02 14:36:00+00:00,2026-03-02 15:11:00+00:00,20000.0,40822.78481012658,-822.7848101265845,28.575949367088608,0.0,,-851.3607594936731,stop
B0,HBARUSDT,2026-03-02 15:21:00+00:00,2026-03-02 17:16:00+00:00,20000.0,39694.74611094805,305.25388905194995,27.78632227766364,0.0,,277.4675667742863,mean
B0,BNBUSDT,2026-03-02 15:06:00+00:00,2026-03-02 17:46:00+00:00,20000.0,40069.69185574098,-69.69185574098447,28.048784299018685,0.0,,-97.74064004000314,mean
B0,BTCUSDT,2026-03-02 15:26:00+00:00,2026-03-02 19:01:00+00:00,20000.0,40089.0415853077,-89.04158530770292,28.06232910971539,0.0,,-117.10391441741832,mean
B0,NEARUSDT,2026-03-02 21:21:00+00:00,2026-03-02 22:41:00+00:00,20000.0,40630.961115187085,-630.9611151870849,28.44167278063096,0.0,,-659.4027879677159,stop
B0,NEARUSDT,2026-03-02 22:41:00+00:00,2026-03-02 23:06:00+00:00,20000.0,39402.56045519204,597.4395448079631,27.581792318634427,0.0,,569.8577524893287,mean
B0,NEARUSDT,2026-03-03 05:26:00+00:00,2026-03-03 05:41:00+00:00,20000.0,39475.50034506557,524.4996549344396,27.632850241545896,0.0,,496.8668046928937,mean
B0,TRXUSDT,2026-03-03 05:51:00+00:00,2026-03-03 08:06:00+00:00,20000.0,40039.07498845512,39.07498845511873,28.027352491918585,0.0,,11.047635963200143,mean
B0,NEARUSDT,2026-03-03 06:26:00+00:00,2026-03-03 08:16:00+00:00,20000.0,40118.25572801183,118.25572801182716,28.08277900960828,0.0,,90.17294900221889,mean
B0,BNBUSDT,2026-03-03 08:51:00+00:00,2026-03-03 10:46:00+00:00,20000.0,40064.51612903226,64.51612903226123,28.04516129032258,0.0,,36.47096774193865,mean
B0,BTCUSDT,2026-03-03 09:46:00+00:00,2026-03-03 10:51:00+00:00,20000.0,40097.84900631973,97.84900631972778,28.068494304423808,0.0,,69.78051201530397,mean
B0,TRXUSDT,2026-03-03 08:46:00+00:00,2026-03-03 11:41:00+00:00,20000.0,39972.9931416794,-27.006858320601168,27.981095199175577,0.0,,-54.987953519776745,mean
B0,AAVEUSDT,2026-03-03 11:01:00+00:00,2026-03-03 14:36:00+00:00,20000.0,39383.743580662296,-616.2564193377002,27.568620506463606,0.0,,-643.8250398441638,stop
B0,TRXUSDT,2026-03-03 14:46:00+00:00,2026-03-03 15:36:00+00:00,20000.0,40029.27525883613,29.27525883612907,28.02049268118529,0.0,,1.254766154943777,mean
B0,NEARUSDT,2026-03-03 15:41:00+00:00,2026-03-03 16:36:00+00:00,20000.0,39568.655643422,431.3443565779999,27.6980589503954,0.0,,403.6462976276045,mean
B0,LTCUSDT,2026-03-03 16:51:00+00:00,2026-03-03 17:36:00+00:00,20000.0,39842.922374429225,157.07762557077513,27.89004566210046,0.0,,129.18757990867468,mean
B0,AVAXUSDT,2026-03-03 16:01:00+00:00,2026-03-03 19:11:00+00:00,20000.0,40050.2677303027,-50.2677303026976,28.03518741121189,0.0,,-78.3029177139095,mean
B0,DOTUSDT,2026-03-03 18:36:00+00:00,2026-03-03 19:11:00+00:00,20000.0,39703.41715022567,296.5828497743387,27.792392005157964,0.0,,268.7904577691807,mean
B0,TRXUSDT,2026-03-04 00:11:00+00:00,2026-03-04 02:36:00+00:00,20000.0,39982.82524688708,-17.174753112925828,27.987977672820957,0.0,,-45.16273078574678,mean
B0,TRXUSDT,2026-03-04 02:56:00+00:00,2026-03-04 03:36:00+00:00,20000.0,39948.6484558876,51.351544112400006,27.96405391912132,0.0,,23.38749019327869,mean
B0,TRXUSDT,2026-03-04 06:16:00+00:00,2026-03-04 10:16:00+00:00,20000.0,40218.6064727454,-218.60647274539951,28.15302453092178,0.0,,-246.7594972763213,timeout
B0,BCHUSDT,2026-03-04 07:51:00+00:00,2026-03-04 10:51:00+00:00,20000.0,40134.52420333003,-134.52420333002738,28.09416694233102,0.0,,-162.6183702723584,mean
B0,LINKUSDT,2026-03-04 08:51:00+00:00,2026-03-04 11:41:00+00:00,20000.0,39958.32876411887,41.67123588112736,27.97083013488321,0.0,,13.700405746244147,mean
B0,BTCUSDT,2026-03-04 10:16:00+00:00,2026-03-04 11:41:00+00:00,20000.0,39841.21130852609,158.7886914739065,27.888847915968267,0.0,,130.89984355793823,mean
B0,TRXUSDT,2026-03-04 12:06:00+00:00,2026-03-04 13:56:00+00:00,20000.0,39950.15620063884,49.84379936115511,27.96510934044719,0.0,,21.87869002070792,mean
B0,DOGEUSDT,2026-03-04 14:31:00+00:00,2026-03-04 15:56:00+00:00,20000.0,40744.63609591922,-744.636095919228,28.521245267143456,0.0,,-773.1573411863715,stop
B0,DOGEUSDT,2026-03-04 15:56:00+00:00,2026-03-04 17:16:00+00:00,20000.0,40592.17197323058,-592.1719732305828,28.414520381261404,0.0,,-620.5864936118442,stop
B0,BCHUSDT,2026-03-04 14:51:00+00:00,2026-03-04 17:21:00+00:00,20000.0,40007.73694390716,-7.736943907155364,28.00541586073501,0.0,,-35.74235976789038,mean
B0,DOGEUSDT,2026-03-04 17:16:00+00:00,2026-03-04 21:01:00+00:00,20000.0,40137.87669883789,-137.87669883789204,28.096513689186523,0.0,,-165.97321252707854,mean
B0,XLMUSDT,2026-03-04 19:01:00+00:00,2026-03-04 21:16:00+00:00,20000.0,40038.11397307432,-38.11397307432344,28.026679781152023,0.0,,-66.14065285547547,mean
B0,NEARUSDT,2026-03-05 01:46:00+00:00,2026-03-05 02:26:00+00:00,20000.0,40336.269015212165,336.2690152121686,28.235388310648517,0.0,,308.0336269015201,mean
B0,DOGEUSDT,2026-03-04 22:56:00+00:00,2026-03-05 02:36:00+00:00,20000.0,39383.002318782135,-616.9976812178647,27.56810162314749,0.0,,-644.5657828410123,stop
B0,BCHUSDT,2026-03-05 00:31:00+00:00,2026-03-05 03:51:00+00:00,20000.0,40023.971931048014,23.971931048010447,28.01678035173361,0.0,,-4.044849303723161,mean
B0,TRXUSDT,2026-03-05 03:51:00+00:00,2026-03-05 07:51:00+00:00,20000.0,39945.90227280712,-54.09772719288958,27.96213159096498,0.0,,-82.05985878385457,timeout
B0,FILUSDT,2026-03-05 09:01:00+00:00,2026-03-05 09:41:00+00:00,20000.0,39846.00577478345,153.99422521655288,27.89220404234841,0.0,,126.10202117420448,mean
B0,BNBUSDT,2026-03-05 10:36:00+00:00,2026-03-05 11:41:00+00:00,20000.0,39838.13220206396,161.86779793603637,27.886692541444773,0.0,,133.9811053945916,mean
B0,TRXUSDT,2026-03-05 14:06:00+00:00,2026-03-05 15:01:00+00:00,20000.0,40036.09341825902,36.09341825902084,28.025265392781314,0.0,,8.068152866239522,mean
B0,FILUSDT,2026-03-05 15:31:00+00:00,2026-03-05 18:36:00+00:00,20000.0,39901.28331688055,-98.71668311944812,27.930898321816382,0.0,,-126.64758144126452,mean
B0,DOTUSDT,2026-03-05 20:26:00+00:00,2026-03-05 22:16:00+00:00,20000.0,39921.976592977895,78.02340702210859,27.945383615084527,0.0,,50.07802340702406,mean
B0,TRXUSDT,2026-03-05 21:26:00+00:00,2026-03-06 01:26:00+00:00,20000.0,40037.24133085058,-37.24133085057838,28.026068931595404,0.0,,-65.26739978217378,timeout
B0,UNIUSDT,2026-03-06 12:11:00+00:00,2026-03-06 13:21:00+00:00,20000.0,40138.92462052997,138.92462052997143,28.09724723437098,0.0,,110.82737329560044,mean
B0,BCHUSDT,2026-03-06 14:01:00+00:00,2026-03-06 16:46:00+00:00,20000.0,40101.68728908886,101.6872890888626,28.071181102362203,0.0,,73.6161079865004,mean
B0,AVAXUSDT,2026-03-06 14:06:00+00:00,2026-03-06 18:06:00+00:00,20000.0,39724.33564891388,-275.6643510861177,27.80703495423972,0.0,,-303.4713860403574,timeout
B0,SUIUSDT,2026-03-06 14:11:00+00:00,2026-03-06 18:11:00+00:00,20000.0,39762.219286657855,-237.7807133421411,27.8335535006605,0.0,,-265.6142668428016,timeout
B0,FILUSDT,2026-03-06 17:41:00+00:00,2026-03-06 18:16:00+00:00,20000.0,40186.72199170125,186.72199170124804,28.130705394190876,0.0,,158.59128630705715,mean
B0,ADAUSDT,2026-03-07 14:06:00+00:00,2026-03-07 14:41:00+00:00,20000.0,40285.60095200317,285.600952003173,28.19992066640222,0.0,,257.4010313367708,mean
B0,FILUSDT,2026-03-07 15:41:00+00:00,2026-03-07 16:46:00+00:00,20000.0,40146.75052410901,146.7505241090148,28.102725366876307,0.0,,118.64779874213848,mean
B0,DOTUSDT,2026-03-07 19:16:00+00:00,2026-03-07 22:06:00+00:00,20000.0,39958.41995841995,-41.58004158004405,27.970893970893965,0.0,,-69.55093555093802,mean
