target,side,signal_time,entry_time,exit_time,entry_price,exit_price,notional,gross_price_pnl,fee,net_pnl,funding_cashflow,net_pnl_including_funding,reason,entry_z,entry_pct
TRXUSDT,1,2026-04-28 00:04:00+00:00,2026-04-28 00:05:00+00:00,2026-04-28 04:10:00+00:00,0.32536,0.32368,30000.0,-154.90533562822483,0.0,-154.90533562822483,0.0,-154.90533562822483,timeout,-14.740448802887379,0.2878108397596313
ADAUSDT,1,2026-04-28 00:04:00+00:00,2026-04-28 00:05:00+00:00,2026-04-28 04:10:00+00:00,0.2477,0.2471,30000.0,-72.66855066612953,0.0,-72.66855066612953,0.0,-72.66855066612953,timeout,-9.47964509636444,0.20128790438754796
FILUSDT,1,2026-04-28 00:04:00+00:00,2026-04-28 00:05:00+00:00,2026-04-28 04:10:00+00:00,0.921,0.919,30000.0,-65.14657980456029,0.0,-65.14657980456029,0.0,-65.14657980456029,timeout,-9.286663711519369,0.31166547831390345
ADAUSDT,1,2026-04-29 00:04:00+00:00,2026-04-29 00:05:00+00:00,2026-04-29 04:10:00+00:00,0.2466,0.2489,29912.183860170328,278.98630526517246,0.0,278.98630526517246,0.0,278.98630526517246,timeout,-12.32308373876785,0.24694439403764823
HBARUSDT,1,2026-04-29 00:04:00+00:00,2026-04-29 00:05:00+00:00,2026-04-29 04:10:00+00:00,0.08886,0.08986,29912.183860170328,336.6214704048013,0.0,336.6214704048013,0.0,336.6214704048013,timeout,-10.743554428978278,0.2397719241373346
XRPUSDT,1,2026-04-29 00:04:00+00:00,2026-04-29 00:05:00+00:00,2026-04-29 04:10:00+00:00,1.3802,1.3877,29912.183860170328,162.54265972414973,0.0,162.54265972414973,0.0,162.54265972414973,timeout,-8.144388896098775,0.22559752223493945
ADAUSDT,1,2026-04-30 00:04:00+00:00,2026-04-30 00:05:00+00:00,2026-04-30 04:10:00+00:00,0.2449,0.2463,30145.628990788566,172.33107630503903,0.0,172.33107630503903,0.0,172.33107630503903,timeout,-12.825677928199237,0.2785711668044881
SUIUSDT,1,2026-04-30 00:04:00+00:00,2026-04-30 00:05:00+00:00,2026-04-30 04:10:00+00:00,0.9074,0.9089,30145.628990788566,49.83297717234339,0.0,49.83297717234339,0.0,49.83297717234339,timeout,-8.105691188844952,0.1893780736402063
BNBUSDT,1,2026-04-30 00:04:00+00:00,2026-04-30 00:05:00+00:00,2026-04-30 04:10:00+00:00,617.64,617.25,30145.628990788566,-19.035028991656493,0.0,-19.035028991656493,0.0,-19.035028991656493,timeout,-5.9486782166805945,0.1285109147224056
BTCUSDT,1,2026-05-01 00:04:00+00:00,2026-05-01 00:05:00+00:00,2026-05-01 04:10:00+00:00,76442.8,77091.1,30206.56769813428,256.1774011247667,0.0,256.1774011247667,0.0,256.1774011247667,timeout,-11.534522914790502,0.13251186017195193
XLMUSDT,-1,2026-05-01 00:04:00+00:00,2026-05-01 00:05:00+00:00,2026-05-01 04:10:00+00:00,0.15876,0.16032,30206.56769813428,-296.8143462401679,0.0,-296.8143462401679,0.0,-296.8143462401679,timeout,7.838694311166656,0.2236508673227522
UNIUSDT,1,2026-05-01 00:04:00+00:00,2026-05-01 00:05:00+00:00,2026-05-01 04:10:00+00:00,3.195,3.23,30206.56769813428,330.9013675851936,0.0,330.9013675851936,0.0,330.9013675851936,timeout,-7.680874920337321,0.25036263868691144
SOLUSDT,-1,2026-05-02 00:04:00+00:00,2026-05-02 00:05:00+00:00,2026-05-02 04:10:00+00:00,83.66,83.62,30293.647024875216,14.484172615285777,0.0,14.484172615285777,0.0,14.484172615285777,timeout,13.55401376280009,0.42090703564461274
BCHUSDT,1,2026-05-02 00:04:00+00:00,2026-05-02 00:05:00+00:00,2026-05-02 04:10:00+00:00,450.28,450.06,30293.647024875216,-14.801017912125166,0.0,-14.801017912125166,0.0,-14.801017912125166,timeout,-8.977876283460638,0.18001029152766956
LTCUSDT,-1,2026-05-02 00:04:00+00:00,2026-05-02 00:05:00+00:00,2026-05-02 04:10:00+00:00,55.39,55.48,30293.647024875216,-49.22239090519254,0.0,-49.22239090519254,0.0,-49.22239090519254,timeout,7.964849433625255,0.09194902054324561
LTCUSDT,1,2026-05-03 00:04:00+00:00,2026-05-03 00:05:00+00:00,2026-05-03 04:10:00+00:00,55.26,54.86,30278.785254014605,-219.17325554842287,0.0,-219.17325554842287,0.0,-219.17325554842287,timeout,-8.976170670822224,0.09734897003602383
DOGEUSDT,-1,2026-05-03 00:04:00+00:00,2026-05-03 00:05:00+00:00,2026-05-03 04:10:00+00:00,0.10832,0.10771,30278.785254014605,170.51383867198092,0.0,170.51383867198092,0.0,170.51383867198092,timeout,4.24770229484351,0.19168890504470393
XLMUSDT,1,2026-05-03 00:04:00+00:00,2026-05-03 00:05:00+00:00,2026-05-03 04:10:00+00:00,0.15977,0.15833,30278.785254014605,-272.9013629954376,0.0,-272.9013629954376,0.0,-272.9013629954376,timeout,-2.9872758101558996,0.07719229162449792
SUIUSDT,-1,2026-05-04 00:04:00+00:00,2026-05-04 00:05:00+00:00,2026-05-04 04:05:00+00:00,0.9186,0.9471,30182.31702005304,-936.4206782838137,0.0,-936.4206782838137,0.0,-936.4206782838137,stop,7.209053298202723,0.1958420700443404
LTCUSDT,1,2026-05-04 00:04:00+00:00,2026-05-04 00:05:00+00:00,2026-05-04 04:10:00+00:00,55.12,56.19,30182.31702005304,585.9049203820169,0.0,585.9049203820169,0.0,585.9049203820169,timeout,-13.441881460399982,0.14782540471775485
TRXUSDT,1,2026-05-04 00:04:00+00:00,2026-05-04 00:05:00+00:00,2026-05-04 04:10:00+00:00,0.33868,0.33765,30182.31702005304,-91.79103144754177,0.0,-91.79103144754177,0.0,-91.79103144754177,timeout,-8.653835660759583,0.20593315923547229
AVAXUSDT,1,2026-05-05 00:04:00+00:00,2026-05-05 00:05:00+00:00,2026-05-05 04:10:00+00:00,9.197,9.266,30049.62498324824,225.4457022772796,0.0,225.4457022772796,0.0,225.4457022772796,timeout,-13.336661757329408,0.3154073849530591
