rank,target,trades,net_pnl,win_rate,median_hold_min
1,AAVEUSDT,8,832.2374362298427,0.75,120.0
1,ADAUSDT,9,603.2535356836203,0.6666666666666666,135.0
1,AVAXUSDT,16,763.5878698990331,0.8125,157.5
1,BCHUSDT,15,-318.2889012535014,0.4666666666666667,165.0
1,BNBUSDT,8,293.78903785855266,0.625,135.0
1,BTCUSDT,3,132.37665414880155,1.0,135.0
1,DOGEUSDT,10,-847.998385256445,0.3,127.5
1,DOTUSDT,4,-79.27081346016652,0.75,120.0
1,ETHUSDT,10,-361.393383700547,0.4,157.5
1,FILUSDT,20,481.45986502878804,0.65,112.5
1,HBARUSDT,5,-336.37976656406954,0.4,135.0
1,LINKUSDT,6,775.9939711986825,0.8333333333333334,127.5
1,LTCUSDT,4,213.86606829613424,0.75,135.0
1,NEARUSDT,2,-678.7038232556536,0.0,97.5
1,SOLUSDT,2,-63.20553927905563,0.5,180.0
1,SUIUSDT,9,-173.37053306249902,0.5555555555555556,135.0
1,TRXUSDT,6,-67.92274135630376,0.16666666666666666,195.0
1,UNIUSDT,10,419.7129406648333,0.7,127.5
1,XLMUSDT,11,-267.10408557324917,0.5454545454545454,105.0
1,XRPUSDT,9,-164.9851100482658,0.4444444444444444,120.0
2,AAVEUSDT,6,-212.48792641744345,0.16666666666666666,172.5
2,ADAUSDT,9,104.37939601388351,0.6666666666666666,120.0
2,AVAXUSDT,19,496.69164337948945,0.8421052631578947,135.0
2,BCHUSDT,18,-459.8003563604265,0.5,165.0
2,BNBUSDT,6,-274.44277661449513,0.3333333333333333,150.0
2,BTCUSDT,3,24.45459313294425,1.0,120.0
2,DOGEUSDT,19,264.12076624643345,0.7368421052631579,75.0
2,DOTUSDT,9,145.2972582223776,0.7777777777777778,150.0
2,ETHUSDT,13,-60.743411299827855,0.46153846153846156,180.0
2,FILUSDT,16,-341.35248690223113,0.625,127.5
2,HBARUSDT,9,-82.59909837120502,0.5555555555555556,135.0
2,LINKUSDT,14,87.52793245155807,0.7142857142857143,127.5
2,LTCUSDT,4,57.1618208654945,0.5,135.0
2,NEARUSDT,4,-184.96067557126636,0.25,172.5
2,SOLUSDT,8,113.78056137492763,0.75,127.5
2,SUIUSDT,15,52.91704687143208,0.6,120.0
2,TRXUSDT,5,-33.526417543552206,0.6,135.0
2,UNIUSDT,18,-241.4817332951805,0.5555555555555556,157.5
2,XLMUSDT,9,-637.7802018132879,0.3333333333333333,165.0
2,XRPUSDT,14,-553.5258861128334,0.5,150.0
3,AAVEUSDT,11,-413.01667608013247,0.36363636363636365,195.0
3,ADAUSDT,5,267.2976328610357,0.8,135.0
3,AVAXUSDT,20,204.4111609333767,0.7,150.0
3,BCHUSDT,15,-864.1749309250802,0.3333333333333333,195.0
3,BNBUSDT,6,-114.00092414609367,0.3333333333333333,157.5
3,BTCUSDT,6,22.467858132055362,0.3333333333333333,157.5
3,DOGEUSDT,10,63.22247406066484,0.5,135.0
3,DOTUSDT,7,181.22296672840628,1.0,150.0
3,ETHUSDT,10,-357.6375258428,0.2,202.5
3,FILUSDT,17,105.29206936534017,0.7647058823529411,135.0
3,HBARUSDT,10,73.62330321911463,0.7,135.0
3,LINKUSDT,5,34.624538741893744,0.6,135.0
3,LTCUSDT,11,169.64406208319699,0.7272727272727273,90.0
3,NEARUSDT,1,-64.62539913215598,0.0,255.0
3,SOLUSDT,2,87.97974428223183,1.0,82.5
3,SUIUSDT,17,-184.06240802131015,0.6470588235294118,90.0
3,TRXUSDT,11,-364.8566172812865,0.45454545454545453,165.0
3,UNIUSDT,7,-259.777041167493,0.7142857142857143,120.0
3,XLMUSDT,5,-199.72243568603574,0.6,180.0
3,XRPUSDT,11,63.50182463038129,0.5454545454545454,120.0
