period,rows,pc1,pc3,pc5
train,17567,0.7073882403465527,0.788490694048533,0.8354762244289275
validation,17568,0.6694093925621343,0.7528752344757473,0.8125851602427487
holdout,17856,0.603780368597634,0.6831369136587306,0.7430217130171732
