logic,configs,median_valid,median_later
band,8,-0.026403473698363447,-0.0274224816973142
confirm2,8,-0.0199740689688638,-0.009089455072597149
turn,8,-0.0178884184935874,-0.00850097775409585
wide_exit,8,-0.0211380631067717,-0.03210099397976255
zero_cross,8,-0.0081028533874387,-0.027231064550562803
