rank,strategy,period,return,start_equity,end_equity
1,v3_selected_1_B0_15m_2bp,formation,0.021868159338024995,100000.0,102186.8159338025
1,v3_selected_1_B0_15m_2bp,valid,-0.03316710986056004,102186.8159338025,98797.57458342524
1,v3_selected_1_B0_15m_2bp,holdout,-0.018629129262693445,98797.57458342524,96957.06179567002
1,v3_selected_1_B0_15m_2bp,2026-03,0.022191343123258767,100000.0,102219.13431232588
1,v3_selected_1_B0_15m_2bp,2026-04,-0.0003161676015044357,102219.13431232588,102186.8159338025
1,v3_selected_1_B0_15m_2bp,2026-05,-0.04287599821063026,102186.8159338025,97805.45419667478
1,v3_selected_1_B0_15m_2bp,2026-06,0.01014381452342561,97805.45419667478,98797.57458342524
1,v3_selected_1_B0_15m_2bp,2026-07,0.03656381091062899,98797.57458342524,102409.99041892236
1,v3_selected_1_B0_15m_2bp,2026-08,-0.05324606125775799,102409.99041892236,96957.06179567002
2,v3_selected_2_PEER_15m_2bp,formation,-0.00806966532591713,100000.0,99193.03346740828
2,v3_selected_2_PEER_15m_2bp,valid,-0.05104670058584104,99193.03346740828,94129.55638779618
2,v3_selected_2_PEER_15m_2bp,holdout,-0.037663178956033105,94129.55638779618,90584.3380605106
2,v3_selected_2_PEER_15m_2bp,2026-03,0.0032169983377623446,100000.0,100321.69983377623
2,v3_selected_2_PEER_15m_2bp,2026-04,-0.011250470917439026,100321.69983377623,99193.03346740828
2,v3_selected_2_PEER_15m_2bp,2026-05,-0.033570006286093745,99193.03346740828,95863.12271037068
2,v3_selected_2_PEER_15m_2bp,2026-06,-0.018083766453259487,95863.12271037068,94129.55638779618
2,v3_selected_2_PEER_15m_2bp,2026-07,-0.01155266892570761,94129.55638779618,93042.10878672425
2,v3_selected_2_PEER_15m_2bp,2026-08,-0.0264156816549318,93042.10878672425,90584.3380605106
3,v3_selected_3_MEDIAN_15m_2bp,formation,-0.01798764000901598,100000.0,98201.2359990984
3,v3_selected_3_MEDIAN_15m_2bp,valid,-0.05268355421590998,98201.2359990984,93027.64585827052
3,v3_selected_3_MEDIAN_15m_2bp,holdout,-0.03346144083518898,93027.64585827052,89914.8067903471
3,v3_selected_3_MEDIAN_15m_2bp,2026-03,-0.0053789489308442295,100000.0,99462.10510691558
3,v3_selected_3_MEDIAN_15m_2bp,2026-04,-0.012676879364877935,99462.10510691558,98201.2359990984
