logic,exit_rule,configs,median_valid,median_holdout,mean_valid,mean_holdout,positive_holdout
band,band,29,-0.0403857156099317,-0.0315083147533646,-0.04195581904836925,-0.0377852723063831,1
confirm2,band,8,-0.0199740689688638,-0.009089455072597149,-0.028099775338219012,-0.011991788165870062,4
ewma,band,3,-0.0468111234047403,-0.0347375299854663,-0.04053496787757067,-0.03692765299221887,0
median,band,3,-0.050049023131964,-0.031889099523379,-0.0219499977800711,-0.03195237322436223,0
turn,band,8,-0.0178884184935874,-0.00850097775409585,-0.022112325959102314,-0.005876939747621376,3
wide_exit,band,8,-0.0211380631067717,-0.03210099397976255,-0.026646542045989548,-0.031188231085158686,0
zero_cross,zero_cross,8,-0.0081028533874387,-0.027231064550562803,-0.010254474543931563,-0.026944398147919827,0
