id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,actual_gross,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
2,RIDGE,15,XRPUSDT,2026-04-02 14:14:00+00:00,2026-04-02 14:16:00+00:00,2026-04-02 16:01:00+00:00,10000.0,9994.721033327483,9994.721033327483,10087.605813355329,18.7705556927241,4.016465369336562,1.1605852569799833,14.754090323387537,15.91467558036752,105.0,-4.406066648772221,mean
3,RIDGE,15,AAVEUSDT,2026-04-02 14:14:00+00:00,2026-04-02 14:16:00+00:00,2026-04-02 16:46:00+00:00,10000.0,9998.064714370186,9998.064714370186,10162.10498990064,10.217238481579855,4.032033940854165,0.2363845988166947,6.18520454072569,6.421589139542385,150.0,3.958837427248644,mean
1,RIDGE,15,UNIUSDT,2026-04-02 14:14:00+00:00,2026-04-02 14:16:00+00:00,2026-04-02 18:31:00+00:00,10000.0,10006.44949280167,10006.44949280167,10047.520286835706,-19.34236909729472,4.0107939559274755,1.1801439915440797,-23.353163053222197,-22.17301906167812,255.0,-8.898762644564194,timeout
4,RIDGE,15,DOGEUSDT,2026-04-02 16:59:00+00:00,2026-04-02 17:01:00+00:00,2026-04-02 19:31:00+00:00,10007.621944205648,9996.744767443304,9996.744767443304,9996.915902157698,7.311079871686872,3.9987321339202007,0.0,3.3123477377666717,3.3123477377666717,150.0,-2.6001969912351877,mean
5,RIDGE,15,XLMUSDT,2026-04-02 17:14:00+00:00,2026-04-02 17:16:00+00:00,2026-04-02 19:31:00+00:00,10005.409603457962,10010.284846888155,10010.284846888155,9949.874853015139,9.514776708136395,3.9920319399806585,0.0,5.522744768155737,5.522744768155737,135.0,2.555309656369313,mean
6,RIDGE,15,BNBUSDT,2026-04-02 18:44:00+00:00,2026-04-02 18:46:00+00:00,2026-04-02 22:46:00+00:00,10000.232670999645,10002.477624777468,10002.477624777468,10035.880317024865,7.767296643849241,4.007671588360466,0.0,3.7596250554887742,3.7596250554887742,240.0,2.889886101359999,mean
8,RIDGE,15,AAVEUSDT,2026-04-02 21:29:00+00:00,2026-04-02 21:31:00+00:00,2026-04-03 00:16:00+00:00,9998.961277301125,9997.08919290696,9997.08919290696,10023.767841132118,-2.0212367705938235,4.004171406807815,-0.0664744374864743,-6.025408177401639,-6.091882614888113,165.0,-2.159744896021739,mean
7,RIDGE,15,XRPUSDT,2026-04-02 20:29:00+00:00,2026-04-02 20:31:00+00:00,2026-04-03 00:46:00+00:00,10001.118512022997,9998.215984406239,9998.215984406239,9988.315859160295,-16.83046369081838,3.997306368713307,-0.2855455634498498,-20.827770059531687,-21.11331562298154,255.0,2.4373324605089883,timeout
9,RIDGE,15,XLMUSDT,2026-04-02 22:59:00+00:00,2026-04-02 23:01:00+00:00,2026-04-03 01:46:00+00:00,9998.801531985564,9996.021306262552,9996.021306262552,9978.569966398958,-15.348795506091204,3.994918254532302,0.06733484554367825,-19.34371376062351,-19.27637891507983,165.0,-2.2855151519617016,mean
10,RIDGE,15,XRPUSDT,2026-04-03 02:29:00+00:00,2026-04-03 02:31:00+00:00,2026-04-03 03:31:00+00:00,9996.627638606671,9992.40253123986,9992.40253123986,10052.78958587536,20.145929620963685,4.0090384234230445,0.0,16.136891197540642,16.136891197540642,60.0,-2.412600678906563,mean
