id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,actual_gross,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
2,B0,60,DOGEUSDT,2026-03-04 14:59:00+00:00,2026-03-04 15:01:00+00:00,2026-03-04 16:01:00+00:00,10000.0,10072.486605735898,10072.486605735898,10422.313268200442,-349.82666246454454,4.0989599747872685,0.8792524950099799,-353.92562243933185,-353.04636994432184,60.0,2.024020873846943,stop
1,B0,60,BCHUSDT,2026-03-04 14:59:00+00:00,2026-03-04 15:01:00+00:00,2026-03-04 18:01:00+00:00,10000.0,10029.922841815032,10029.922841815032,9976.489195716758,53.43364609827516,4.001282407506357,0.8051546540705752,49.4323636907688,50.23751834483938,180.0,2.0785487743085764,mean
3,B0,60,XRPUSDT,2026-03-04 15:59:00+00:00,2026-03-04 16:01:00+00:00,2026-03-04 18:01:00+00:00,9960.193813295618,9969.04852980884,9969.04852980884,9821.924009281462,147.1245205273788,3.958194507818061,0.0,143.16632601956073,143.16632601956073,120.0,3.9083404396867154,mean
4,B0,60,DOGEUSDT,2026-03-04 16:59:00+00:00,2026-03-04 17:01:00+00:00,2026-03-04 20:01:00+00:00,9973.64187829379,9976.646590649172,9976.646590649172,10303.158666600544,-326.5120759513732,4.055961051449943,0.0,-330.5680370028232,-330.5680370028232,180.0,3.3610145173665114,stop
5,B0,60,XLMUSDT,2026-03-04 18:59:00+00:00,2026-03-04 19:01:00+00:00,2026-03-04 22:01:00+00:00,9958.596630724996,9964.722359107063,9964.722359107063,9913.878813535914,50.84354557114917,3.9757202345285956,0.0,46.86782533662058,46.86782533662058,180.0,2.06996224329762,mean
7,B0,60,NEARUSDT,2026-03-05 01:59:00+00:00,2026-03-05 02:01:00+00:00,2026-03-05 03:01:00+00:00,9931.6727803557,9947.614470211809,9947.614470211809,10115.00221370095,167.3877434891403,4.012523336782552,0.0,163.37522015235774,163.37522015235774,60.0,-2.2509470282713036,mean
6,B0,60,DOGEUSDT,2026-03-04 22:59:00+00:00,2026-03-04 23:01:00+00:00,2026-03-05 04:01:00+00:00,9955.665726275387,9961.689727319927,9961.689727319927,9651.453673526148,-310.2360537937781,3.9226286801692147,-0.9930801661964052,-314.15868247394735,-315.1517626401438,300.0,-2.0249401184506812,stop
8,B0,60,TRXUSDT,2026-03-05 03:59:00+00:00,2026-03-05 04:01:00+00:00,2026-03-05 07:01:00+00:00,9940.881901134897,9932.504459313652,9932.504459313652,9939.13660075547,6.632141441817873,3.974328212013824,0.0,2.657813229804049,2.657813229804049,180.0,-3.353978039000928,mean
9,B0,60,FILUSDT,2026-03-05 17:59:00+00:00,2026-03-05 18:01:00+00:00,2026-03-05 19:01:00+00:00,9940.75385334959,9930.793178145832,9930.793178145832,10080.20330620219,149.41012805635668,4.002199296869604,0.0,145.4079287594871,145.4079287594871,60.0,-2.479542403059817,mean
10,B0,60,DOTUSDT,2026-03-05 20:59:00+00:00,2026-03-05 21:01:00+00:00,2026-03-05 23:01:00+00:00,9955.294646225539,9968.248835745677,9968.248835745677,9909.95498290506,58.293852840617326,3.975640763730147,0.0,54.31821207688718,54.31821207688718,120.0,2.179832873170606,mean
11,B0,60,TRXUSDT,2026-03-05 21:59:00+00:00,2026-03-05 22:01:00+00:00,2026-03-06 02:01:00+00:00,9955.095281248825,9943.888137924288,9943.888137924288,9981.7122466446,-37.8241087203111,3.985120076913778,0.5117242931048621,-41.80922879722488,-41.29750450412002,240.0,2.3212221368134673,mean
12,B0,60,BCHUSDT,2026-03-06 13:59:00+00:00,2026-03-06 14:01:00+00:00,2026-03-06 17:01:00+00:00,9956.596716982815,9940.495127574819,9940.495127574819,9967.331109921477,26.835982346658426,3.981565247499259,-0.1574795962669078,22.854417099159168,22.69693750289226,180.0,-2.1751137707394625,mean
13,B0,60,AVAXUSDT,2026-03-06 13:59:00+00:00,2026-03-06 14:01:00+00:00,2026-03-06 17:01:00+00:00,9956.596716982815,9909.481755077868,9909.481755077868,9822.921708787382,-86.56004629048627,3.94648069277305,2.250646889542303,-90.50652698325932,-88.25588009371701,180.0,-2.0222486058384748,mean
14,B0,60,FILUSDT,2026-03-06 14:59:00+00:00,2026-03-06 15:01:00+00:00,2026-03-06 19:01:00+00:00,9944.576238006146,9944.576238006146,9944.576238006146,9954.775803378461,10.199565372314005,3.9798704082769216,1.6812622670582889,6.219694964037084,7.900957231095373,240.0,-2.9655947205095723,mean
15,B0,60,FILUSDT,2026-03-08 02:59:00+00:00,2026-03-08 03:01:00+00:00,2026-03-08 06:01:00+00:00,9950.830918446843,9961.565363882062,9961.565363882062,9983.034254752498,21.468890870435494,3.988919923726912,0.0,17.479970946708583,17.479970946708583,180.0,-2.164143368935626,mean
16,B0,60,NEARUSDT,2026-03-08 10:59:00+00:00,2026-03-08 11:01:00+00:00,2026-03-08 12:01:00+00:00,9952.578915541515,9952.578915541515,9952.578915541515,9872.958284217182,79.62063132433218,3.9651074399517396,0.0,75.65552388438044,75.65552388438044,60.0,2.0201691460262223,mean
17,B0,60,TRXUSDT,2026-03-08 15:59:00+00:00,2026-03-08 16:01:00+00:00,2026-03-08 21:01:00+00:00,9960.144467929953,9963.251295650169,9963.251295650169,10030.220693174806,-66.96939752463896,3.9986943977649947,0.0,-70.96809192240396,-70.96809192240396,300.0,2.072086010190331,timeout
19,B0,60,FILUSDT,2026-03-09 05:59:00+00:00,2026-03-09 06:01:00+00:00,2026-03-09 07:01:00+00:00,9953.047658737712,9932.504732713487,9932.504732713487,9798.975713556014,133.52901915747202,3.9462960892539005,0.0,129.58272306821812,129.58272306821812,60.0,3.3037435895449634,mean
20,B0,60,DOTUSDT,2026-03-09 05:59:00+00:00,2026-03-09 06:01:00+00:00,2026-03-09 07:01:00+00:00,9953.047658737712,9946.46930602209,9946.46930602209,9834.637309856498,111.83199616559166,3.9562213231757175,0.0,107.87577484241595,107.87577484241595,60.0,2.8289244330468266,mean
