symbol,band,minutes,n,mean,median,positive_rate,q05,model
BTCUSDT,1-2,5,8915,6.044816593653999e-06,-1.0398239578046642e-05,0.49399887829500844,-0.002539707190076701,B2
BTCUSDT,1-2,15,8914,3.467136007908735e-05,4.954883712104952e-06,0.5014583800762845,-0.003758259410088754,B2
BTCUSDT,1-2,30,8914,6.697843001389971e-05,0.0,0.49966345075162666,-0.004803689222857554,B2
BTCUSDT,1-2,60,8908,0.00010714837316136148,5.250607456952494e-05,0.5074090704984284,-0.006732792919877562,B2
BTCUSDT,1-2,120,8905,8.064635075449881e-05,8.58886268073622e-05,0.5089275687815834,-0.009490848012666087,B2
BTCUSDT,1-2,240,8905,0.0001933410115861076,0.00011448253279655596,0.5084783829309377,-0.012500668014141713,B2
BTCUSDT,1-2,1440,8849,0.0009507061983741336,0.0006650124223699372,0.5209628206577014,-0.03109852834385609,B2
BTCUSDT,2-3,5,2070,3.389539592004345e-05,-1.3394791798293504e-05,0.4956521739130435,-0.003086436253747832,B2
BTCUSDT,2-3,15,2070,7.634396313227262e-05,2.9372842246022657e-05,0.5057971014492754,-0.004145712403049839,B2
BTCUSDT,2-3,30,2070,7.069074271402349e-05,0.0001041009856225239,0.5135265700483091,-0.005824723970938572,B2
BTCUSDT,2-3,60,2070,0.00023167982094774692,0.00020487116669620775,0.5294685990338164,-0.008097769443730429,B2
BTCUSDT,2-3,120,2070,0.0006159889361817426,0.00040334336369929336,0.5420289855072464,-0.009193819477360149,B2
BTCUSDT,2-3,240,2070,0.0011121549676143285,0.0008754570135074413,0.5531400966183575,-0.012228404462167141,B2
BTCUSDT,2-3,1440,2059,0.0009384567141169312,0.0008001035611626683,0.523069451189898,-0.037686520088416525,B2
BTCUSDT,3-4,5,450,-0.00025913278301712366,5.252722516735364e-05,0.5111111111111111,-0.004376492711566915,B2
BTCUSDT,3-4,15,450,-0.0005247045171656602,6.695505301135274e-06,0.5,-0.0064887575610302,B2
BTCUSDT,3-4,30,450,-0.0005333007358393682,-0.0003473301034218057,0.44222222222222224,-0.007830499924080048,B2
BTCUSDT,3-4,60,450,-0.0008025202359568525,-0.0005011009656099574,0.4444444444444444,-0.011290082235469782,B2
BTCUSDT,3-4,120,450,-0.001188297056645899,-0.00034936104161653603,0.45555555555555555,-0.018541349567021574,B2
BTCUSDT,3-4,240,450,-0.0003953363309809352,8.383583107351988e-05,0.5066666666666667,-0.018601739043885568,B2
BTCUSDT,3-4,1440,450,0.0010291474343822522,0.0024311966292404064,0.5577777777777778,-0.032923343877774146,B2
BTCUSDT,4+,5,252,-0.00033603349458894756,-0.00033628650713324326,0.44047619047619047,-0.0051501633486578545,B2
BTCUSDT,4+,15,252,-0.000450566708233487,-0.00037235794826273594,0.4365079365079365,-0.007945722234012732,B2
BTCUSDT,4+,30,252,-0.0010796084137620079,-0.0005130988740051912,0.42857142857142855,-0.010955604470847364,B2
BTCUSDT,4+,60,252,-0.0019353855830533074,-0.0010390512749427483,0.3888888888888889,-0.016510107572254885,B2
BTCUSDT,4+,120,252,-0.0025373469135378237,-0.0009239466616261516,0.4365079365079365,-0.020195862583407283,B2
BTCUSDT,4+,240,252,-0.0009389089601857715,0.00019373006980050178,0.5119047619047619,-0.02319567878137077,B2
BTCUSDT,4+,1440,252,0.009850152269179091,0.007345079617331218,0.6706349206349206,-0.03011846451336017,B2
ETHUSDT,1-2,5,7923,3.42498035201937e-06,-2.865548465968981e-05,0.4897134923640035,-0.0032190483298359385,B2
ETHUSDT,1-2,15,7923,-3.0239352014360327e-06,-2.588527645475125e-05,0.4937523665278304,-0.00466665116655015,B2
ETHUSDT,1-2,30,7923,1.7945973783626812e-05,-5.364346408043286e-05,0.49072321090496024,-0.006220740450478668,B2
ETHUSDT,1-2,60,7923,-6.904348195629156e-05,-6.458731397518402e-05,0.49047078126972105,-0.009120013358408341,B2
ETHUSDT,1-2,120,7923,4.357917607566631e-05,-3.794860674399825e-05,0.49589801842736336,-0.013346464908725797,B2
ETHUSDT,1-2,240,7923,-2.869701144079413e-06,-0.00011141999208919007,0.4940047961630695,-0.018550149358936906,B2
ETHUSDT,1-2,1440,7851,0.0005568990521630564,-0.00023535687948161854,0.4943319322379315,-0.041826037292034546,B2
ETHUSDT,2-3,5,1720,2.3681181712549863e-05,0.0,0.49883720930232556,-0.0039375803052850485,B2
ETHUSDT,2-3,15,1720,0.00011345495643493497,-8.269311925424017e-05,0.4790697674418605,-0.005910853569761898,B2
ETHUSDT,2-3,30,1720,0.00026389421956486713,7.245929878296753e-05,0.5133720930232558,-0.007594558108489896,B2
ETHUSDT,2-3,60,1720,0.0009057874551246775,0.0002614524832389442,0.5273255813953488,-0.009176930585535297,B2
ETHUSDT,2-3,120,1720,0.0011849117095563647,0.0003278540812583497,0.5203488372093024,-0.01241824982094637,B2
ETHUSDT,2-3,240,1720,0.0012714330400186988,-5.311266790264391e-06,0.4994186046511628,-0.01725937714382277,B2
ETHUSDT,2-3,1440,1719,-0.00220400471673585,-0.002536435483288968,0.462478184991274,-0.04222507351055382,B2
ETHUSDT,3-4,5,518,8.937305762477073e-05,0.00018930258815486045,0.5366795366795367,-0.004653177211853731,B2
ETHUSDT,3-4,15,518,0.00041418576066829346,0.00018620198257912612,0.5308880308880309,-0.005758644982760097,B2
ETHUSDT,3-4,30,518,0.0004814770588087301,0.0003631058726509817,0.5424710424710425,-0.008237258001544562,B2
ETHUSDT,3-4,60,518,0.0005813653264336615,0.0006259270861994626,0.5444015444015444,-0.012276538824543758,B2
ETHUSDT,3-4,120,518,0.0001301809736475936,-0.00017153757549170923,0.49034749034749037,-0.014019912364467752,B2
ETHUSDT,3-4,240,518,0.00022224378973133215,-0.00039224386941483225,0.47104247104247104,-0.026212668285257812,B2
ETHUSDT,3-4,1440,518,-0.004888216203983421,-0.005414477556872965,0.42084942084942084,-0.04175380401118896,B2
ETHUSDT,4+,5,380,0.0003165175288736844,6.0046937858548866e-05,0.5052631578947369,-0.005984445033876857,B2
ETHUSDT,4+,15,380,0.00020107838403018703,0.00011773215450505692,0.5052631578947369,-0.00944940205664711,B2
ETHUSDT,4+,30,380,8.16323817298447e-06,-7.187161356042582e-05,0.49736842105263157,-0.012130487044218947,B2
ETHUSDT,4+,60,380,-0.0006431436859256687,-0.0001173737045155887,0.49473684210526314,-0.017995974215065363,B2
ETHUSDT,4+,120,380,-1.3964641018295397e-05,0.000989553137489052,0.5342105263157895,-0.019943738838393142,B2
ETHUSDT,4+,240,380,0.001962390210326627,-0.0009252941834122508,0.44473684210526315,-0.03209093239304805,B2
ETHUSDT,4+,1440,380,0.0042732301613114115,-0.004490480514396711,0.4394736842105263,-0.04771321376697156,B2
BNBUSDT,1-2,5,8184,-2.503032673691373e-05,-1.641927030543444e-05,0.49193548387096775,-0.002479832700809753,B2
BNBUSDT,1-2,15,8184,-4.8959345758524415e-05,0.0,0.49608993157380255,-0.0037477615043216444,B2
BNBUSDT,1-2,30,8184,-4.931430992305043e-05,-3.1511534023587195e-05,0.4912023460410557,-0.0049679744297355275,B2
BNBUSDT,1-2,60,8184,-0.00011429550631027454,0.0,0.49816715542521994,-0.0074791277187012395,B2
BNBUSDT,1-2,120,8184,-2.517155104270414e-05,1.7456404749705e-05,0.5008553274682307,-0.009951074308465374,B2
BNBUSDT,1-2,240,8184,0.00038135348282748987,0.00019330965510588882,0.5151515151515151,-0.012495749565230202,B2
BNBUSDT,1-2,1440,8164,0.0015040309406136464,0.0014216979354269021,0.5389514943655072,-0.028494603067218148,B2
BNBUSDT,2-3,5,1578,1.8105313113055256e-05,0.0,0.49936628643852976,-0.0029378481147640024,B2
BNBUSDT,2-3,15,1578,6.472383148748211e-05,-9.286479250825153e-05,0.4835234474017744,-0.004036733580977958,B2
BNBUSDT,2-3,30,1578,0.00010868741449530155,-4.965828321534804e-05,0.4892268694550063,-0.005664652348043136,B2
BNBUSDT,2-3,60,1578,0.00020455369002961865,-7.40015340468525e-05,0.48986058301647656,-0.007120402699559297,B2
BNBUSDT,2-3,120,1578,0.000438312978986547,-1.7223155094281406e-05,0.49809885931558934,-0.010121123121900878,B2
