start_equity,end_equity,interval_return,daily_sharpe_sqrt365,max_drawdown,trades,gross_price_pnl,fees,slippage,funding,turnover,break_even_one_way_bp,model,cost_bp
100000,118631.47879094296,0.1863147879094295,1.6710242578099832,-0.1267870791911476,2547,18631.478790942856,0.0,0.0,,101899221.7098298,1.8284220898171544,B0,0
100000,98251.63444897682,-0.0174836555102317,-0.021600678677386,-0.1755919880308271,2547,18631.478790942856,20379.844341965963,0.0,,101899221.7098298,1.8284220898171544,B0,2
100000,67681.86793602786,-0.3231813206397214,-2.404312781724445,-0.4032890916469778,2547,18631.478790942856,50949.61085491491,0.0,,101899221.7098298,1.8284220898171544,B0,5
100000,47302.02359406208,-0.5269797640593792,-3.75736093112844,-0.5868356256466143,2547,18631.478790942856,71329.45519688087,0.0,,101899221.7098298,1.8284220898171544,B0,7
100000,16732.25708111296,-0.8326774291888704,-4.53897396684025,-0.8689697949826138,2547,18631.478790942856,101899.2217098298,0.0,,101899221.7098298,1.8284220898171544,B0,10
100000,94560.0606072732,-0.0543993939272681,-0.9596603756712256,-0.1039166723014273,3419,-5439.939392726669,0.0,0.0,,136768676.78791168,-0.39774746093087,B1,0
100000,67206.3252496912,-0.327936747503088,-5.877705959183167,-0.3300021533671362,3419,-5439.939392726669,27353.735357582336,0.0,,136768676.78791168,-0.39774746093087,B1,2
100000,26175.72221331738,-0.7382427778668262,-11.649046230866343,-0.7400969333239562,3419,-5439.939392726669,68384.33839395584,0.0,,136768676.78791168,-0.39774746093087,B1,5
100000,-1178.013144264953,-1.0117801314426496,-0.1962414748662399,-1.013554092315065,3419,-5439.939392726669,95738.07375153818,0.0,,136768676.78791168,-0.39774746093087,B1,7
100000,-42208.61618063845,-1.4220861618063845,-1.4410397713465009,-1.4237398308017284,3419,-5439.939392726669,136768.67678791168,0.0,,136768676.78791168,-0.39774746093087,B1,10
100000,102103.91822692462,0.0210391822692461,0.6014427375758646,-0.0767587663104023,2892,2103.9182269244284,0.0,0.0,,115686126.48911378,0.181864350616183,B2,0
100000,78966.69292910195,-0.2103330707089805,-5.570382231703276,-0.2347560108142431,2892,2103.9182269244284,23137.225297822755,0.0,,115686126.48911378,0.181864350616183,B2,2
100000,44260.85498236754,-0.5573914501763246,-13.560498176868702,-0.5664935344499759,2892,2103.9182269244284,57843.06324455689,0.0,,115686126.48911378,0.181864350616183,B2,5
100000,21123.62968454461,-0.7887637031545539,-15.776276191133164,-0.7897615119447025,2892,2103.9182269244284,80980.28854237963,0.0,,115686126.48911378,0.181864350616183,B2,7
100000,-13582.208262189297,-1.135822082621893,-1.5066526395872402,-1.1358524784813322,2892,2103.9182269244284,115686.12648911378,0.0,,115686126.48911378,0.181864350616183,B2,10
