selection_rank,cost_bp,model,frequency_min,center_hours,scale_days,center_kind,logic,entry_sigma,exit_sigma,hold_hours,exit_rule,period,return,start_equity,end_equity,max_drawdown,sharpe_daily,trades,win_rate,profit_factor,net_pnl,gross_price_pnl,funding_cashflow,net_pnl_including_funding,fees,turnover,break_even_bp,median_hold_min,period_gross_fees,period_net_fees_reference
1,0.0,B0,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.00380836459744327,104450.5497208214,104052.76394508113,-0.06381761086569926,-0.10149329385933971,748,0.6390374331550802,0.9910609978504668,-437.2576299404586,-437.2576299404586,39.47185420002074,-397.7857757404379,0.0,15364659.382392192,-0.2845866081753516,135.0,0.0,0.0
1,0.0,B0,15,4,7,sma,band,2.0,0.5,4,band,holdout,0.013095979970489946,104052.76394508113,105415.43685758003,-0.07500887370449427,0.6710133565763079,795,0.6327044025157232,1.0308188123624988,1242.8144493912828,1242.8144493912828,119.85846310762052,1362.6729124989033,0.0,17171021.74109433,0.7237859622627657,135.0,0.0,0.0
1,1.0,B0,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.018597168336527248,103312.50902633551,101391.18890470375,-0.0710040605547595,-0.7565915421320861,748,0.6323529411764706,0.9596378613150255,-1960.1811096893716,-451.66122877438715,38.860988057539615,-1921.320121631832,1508.5198809149842,15085198.809149843,-0.2994068785493464,135.0,1508.519880914983,1508.519880914983
1,1.0,B0,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.0028923710603093733,101391.18890470375,101097.92796414543,-0.07932574288970096,-0.07220436793363272,795,0.6251572327044025,0.9896537032021617,-409.1031866955609,1250.8221865436808,115.84224613753248,-293.26094055802844,1659.925373239241,16599253.732392408,0.7535412173999,135.0,1659.9253732392406,1659.9253732392406
1,2.0,B0,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.03316710986056004,102186.8159338025,98797.57458342524,-0.07931246581487372,-1.4037616133627124,748,0.6216577540106952,0.92893209700355,-3427.501783857633,-465.2846357497792,38.26043348029258,-3389.2413503773405,2962.2171481078544,14811085.740539273,-0.3141462036616623,135.0,2962.21714810786,2962.21714810786
1,2.0,B0,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.018629129262693445,98797.57458342524,96957.06179567002,-0.08387490785614493,-0.8098620246231436,795,0.6138364779874214,0.9496540904691041,-1952.4754234626662,1256.891050534905,111.96263570749875,-1840.5127877551674,3209.3664739975707,16046832.369987853,0.7832642739420954,135.0,3209.3664739975707,3209.3664739975707
1,3.0,B0,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.04752141806708465,101073.33703545424,96270.18873075707,-0.08754696322449995,-2.042710722341676,748,0.6163101604278075,0.8989369502500706,-4840.818301738659,-478.1543077478291,37.66999704134741,-4803.148304697312,4362.66399399083,14542213.313302765,-0.3288043556000023,135.0,4362.663993990825,4362.663993990825
1,3.0,B0,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.03411824223247317,96270.18873075707,92985.61911187519,-0.08842795287051985,-1.5415524671432856,795,0.6075471698113207,0.9108184560181862,-3392.7845377339518,1261.1433671820841,108.21491885238072,-3284.569618881571,4653.927904916035,15513093.01638678,0.812954170938003,135.0,4653.927904916031,4653.927904916031
2,0.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.012869449473679517,102566.49333809255,101246.51903438548,-0.03280090851962769,-1.09572887467424,986,0.6582150101419878,0.9378217370140026,-1328.6631961642593,-1328.6631961642593,8.68889245688175,-1319.9743037073774,0.0,20135644.25096694,-0.6598563123206028,135.0,0.0,0.0
2,0.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,holdout,0.0005393040150487582,101246.51903438548,101301.12168861042,-0.021707368341545963,0.09900146421479357,973,0.6495375128468653,1.0016206819952487,26.921374164267036,26.921374164267036,27.681280060595867,54.6026542248629,0.0,19776434.673075907,0.013612855203328642,135.0,0.0,0.0
2,1.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.03214581998794008,100865.70135902194,97623.2906801775,-0.03994018189335691,-2.7964367444961655,986,0.6277890466531441,0.8487976443479543,-3250.881855989911,-1289.9889324412757,8.471177145060546,-3242.4106788448503,1960.8929235486348,19608929.23548635,-0.6578579161307686,135.0,1960.8929235486355,1799.7505764959133
2,1.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.018747366146707134,97623.2906801775,95793.11110534979,-0.030464420280881144,-2.7591870231154263,973,0.6145940390544707,0.887751538652916,-1856.6281742171604,31.84492689057481,26.44859938956163,-1830.1795748275988,1888.4731011077347,18884731.01107735,0.01686279082921293,135.0,1888.4731011077333,1736.7225606271793
2,2.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.05104670058584093,99193.03346740827,94129.55638779618,-0.0522598194121503,-4.470808413607074,986,0.592292089249493,0.7659705332359749,-5071.736912405928,-1252.41962237881,8.25983279364845,-5063.477079612279,3819.3172900271184,19096586.450135596,-0.6558342904105342,135.0,3819.3172900271193,3505.3714289546847
2,2.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.037663178956033216,94129.55638779618,90584.33806051059,-0.042107463129075984,-5.5936857826602315,973,0.5837615621788284,0.7836532735960885,-3570.489616139952,36.262395689951404,25.271288854149528,-3545.2183272858024,3606.7520118299026,18033760.05914952,0.020108061530714164,135.0,3606.7520118299076,3317.012411091777
2,3.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.06957938740019376,97548.02591096058,90760.69402597772,-0.06991259836229191,-6.115008723938464,986,0.5557809330628803,0.6895014280569777,-6795.386535024213,-1215.9238574119204,8.054650041076574,-6787.331884983137,5579.462677612292,18598208.925374307,-0.653785459820803,135.0,5579.462677612298,5120.714227660195
2,3.0,PEER,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.05621524789360244,90760.69402597772,85658.55911231198,-0.05824243080088276,-8.383816283577797,973,0.5488180883864338,0.689223453233025,-5126.281755378168,40.20959085233699,24.14684171258476,-5102.134913665584,5166.491346230504,17221637.820768345,0.02334829664333461,135.0,5166.491346230492,4751.575818490883
3,0.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.013508468593802392,101463.43774128289,100092.82207913554,-0.03470194283872963,-1.1001743158205528,1013,0.6604146100691016,0.9339527225154267,-1394.3865832593585,-1394.3865832593585,23.770921112089013,-1370.6156621472696,0.0,20452074.14599657,-0.6817824800093957,135.0,0.0,0.0
3,0.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,holdout,0.004508801198645385,100092.82207913554,100544.12071530175,-0.018491437343161277,0.6264984932213848,963,0.6469366562824507,1.0258123220462814,426.41016740283203,426.41016740283203,24.888468763130152,451.2986361659622,0.0,19349495.93622648,0.22037275224544692,150.0,0.0,0.0
3,1.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.03329394544459208,99819.04975824669,96495.6797612646,-0.04320346373299744,-2.773053466032021,1013,0.6288252714708786,0.8425789401980542,-3346.505637768518,-1354.554759995659,23.135640786101785,-3323.3699969824165,1991.9508777728588,19919508.777728587,-0.6800141384561382,135.0,1991.950877772859,1823.1152980867264
3,1.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.014658731250624446,96495.6797612646,95081.1755247979,-0.02735730387263935,-1.9787681409766298,963,0.6095534787123572,0.9125538006060492,-1438.2963524881598,409.29654572575305,23.79211602136105,-1414.5042364667986,1847.5928982139128,18475928.982139125,0.2215296162490256,150.0,1847.5928982139135,1714.818361429829
3,2.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.05268355421591031,98201.23599909841,93027.64585827051,-0.05651287516263748,-4.4207556828594585,1013,0.6031589338598223,0.7576514557578773,-5196.108541351996,-1315.8185725453654,22.51840052399077,-5173.590140828005,3880.289968806631,19401449.84403316,-0.6782063109319845,135.0,3880.2899688066304,3551.388257441984
3,2.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.03346144083518876,93027.64585827051,89914.8067903471,-0.039982774692086775,-4.612070241524783,963,0.5825545171339563,0.8088526402071871,-3135.5837307532265,392.87737146838003,22.74466283000481,-3112.8390679232216,3528.4611022216072,17642305.511108033,0.2226904931563591,150.0,3528.461102221613,3274.965490485255
3,3.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.07168519631403225,96609.56823366976,89684.09236902525,-0.07357202028080523,-6.040041984567766,1013,0.5656465942744324,0.6791632776126153,-6947.394527610988,-1278.1486026875718,21.918662966765346,-6925.475864644222,5669.245924923416,18897486.41641139,-0.6763590535392964,135.0,5669.2459249234225,5188.689800610399
3,3.0,MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.05190625383895142,89684.09236902525,85028.92710520266,-0.05531983563473897,-7.257140227689691,963,0.5514018691588785,0.7145202154341705,-4676.909166929006,377.1238461245596,21.743903106299303,-4655.165263822706,5054.033013053566,16846776.71017855,0.22385519355563574,150.0,5054.0330130535685,4691.038321835483
4,0.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.001591772574605188,100556.9419829404,100396.8782005058,-0.017828697899926804,-0.19861200318983974,991,0.6397578203834511,0.9900524647068814,-162.02280406377696,-162.02280406377696,1.9590216294736391,-160.06378243430333,0.0,19938677.48536551,-0.0812605571170393,135.0,0.0,0.0
4,0.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,holdout,0.013796977828055779,100396.8782005058,101782.0517030442,-0.014594964050832604,2.5881784036582385,993,0.6435045317220544,1.0983526947950502,1351.3268298753471,1351.3268298753471,33.846672663138946,1385.173502538486,0.0,20055233.084866624,0.6738026051140926,135.0,0.0,0.0
4,1.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.021180432586824782,99641.89042123411,97531.43207834338,-0.027033861561389205,-2.897771029962497,991,0.6024217961654894,0.8736113831154163,-2112.4147283631582,-156.07951814319463,1.9563854722383405,-2110.45834289092,1956.335210219963,19563352.10219963,-0.0797815820764406,135.0,1956.335210219961,1840.5895310729866
4,1.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.006147200382367046,97531.43207834338,96931.88682177858,-0.02298652053064265,-1.1449986126702558,993,0.6122860020140987,0.9546191027462858,-632.0669685842286,1297.0139428273137,32.52171201960241,-599.5452565646261,1929.0809114115423,19290809.114115424,0.6723481296998921,135.0,1929.080911411542,1828.6550438122215
4,2.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.04038571560993176,98735.12182003309,94747.63326949727,-0.04087610207130132,-5.522090122190418,991,0.5691220988900101,0.7679654628059639,-3989.4424992779686,-150.3022890565048,1.9539487423726287,-3987.488550535596,3839.1402102214633,19195701.051107317,-0.07829997386203016,135.0,3839.1402102214615,3612.0269066226706
4,2.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.025699975129370833,94747.63326949727,92312.62145090444,-0.036856799827953424,-4.874575470639778,993,0.5850956696878147,0.825554791240097,-2466.261335622156,1244.957837488142,31.249517029599975,-2435.0118185925558,3711.2191731102985,18556095.86555149,0.6709158254562304,135.0,3711.2191731103053,3518.120427162106
4,3.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.05921510628861193,97836.56159828794,92043.15920433299,-0.05963924013815858,-8.062446727933798,991,0.5267406659939455,0.6727810675945776,-5795.354084600625,-144.68697250947469,1.9516906457890464,-5793.402393954836,5650.66711209115,18835557.040303834,-0.07681587127998248,135.0,5650.66711209115,5316.429648551121
4,3.0,RIDGE,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.04486900900506874,92043.15920433299,87913.27386513879,-0.05309113800913656,-8.553937876225936,993,0.553877139979859,0.7103471729017916,-4159.913291974371,1195.0618775291603,30.027952780690192,-4129.88533919368,5354.975169503531,17849917.23167844,0.6695055568147236,135.0,5354.975169503529,5076.499406552995
5,0.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.025568760715341088,101165.52407485264,98578.84699714066,-0.03869734523757551,-2.6087609364980056,983,0.6236012207527976,0.8665442450084803,-2590.3271816644,-2590.3271816644,3.650103952436478,-2586.6770777119636,0.0,19719184.855870802,-1.313607636723993,150.0,0.0,0.0
5,0.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,holdout,0.007547141538676749,98578.84699714066,99322.83550814765,-0.017675279355092277,1.5272775682478823,1006,0.643141153081511,1.0464858619987574,708.9610487963546,708.9610487963546,35.02746221057346,743.9885110069281,0.0,20020603.31659253,0.3541157264770273,150.0,0.0,0.0
