model,configs,median_valid,median_holdout,mean_valid,mean_holdout,positive_holdout
AR1,4,-0.0040345884654026005,-0.06944653525384184,-0.00792275281262365,-0.06840280334966417,0
B0,15,-0.0197632476543841,-0.0186291292626934,-0.010742127583239813,-0.019493727069320812,3
MEDIAN,13,-0.0391319000971217,-0.0211323890863583,-0.03687645129289073,-0.025642918075225604,2
PCA1,1,-0.0591199892067064,-0.0303926622958623,-0.0591199892067064,-0.0303926622958623,0
PCA3,15,-0.0492373064593398,-0.0276597170370883,-0.045381606109681415,-0.026711485218572195,2
PCA5,1,-0.0382310453809906,-0.0307779032154638,-0.0382310453809906,-0.0307779032154638,0
PEER,15,-0.0413616020779905,-0.031889099523379,-0.0353095759984549,-0.03210451885496565,1
RIDGE,3,-0.0403857156099317,-0.0256999751293708,-0.040381011485720035,-0.0225460505588724,0
