variant,may_jun,jul_aug
raw_centered_0bp_funding_equity,0.3001064981850483,0.1061293648480206
raw_centered_0bp_nofunding_equity,0.31248598774250524,0.10672980706846014
raw_centered_5bp_funding_equity,0.030333824324813685,-0.08485165631944591
raw_centered_5bp_nofunding_equity,0.029245262183077214,-0.08588639809484
raw_uncentered_0bp_funding_equity,0.3001064981850483,0.1061293648480206
raw_uncentered_0bp_nofunding_equity,0.31248598774250524,0.10672980706846014
raw_uncentered_5bp_funding_equity,0.030333824324813685,-0.08485165631944591
raw_uncentered_5bp_nofunding_equity,0.029245262183077214,-0.08588639809484
scaled_0bp_funding_equity,0.04184919503299889,0.002900058915222159
scaled_0bp_nofunding_equity,0.04181732617375844,0.002900058915223047
scaled_5bp_funding_equity,-0.01615457615039617,-0.05186261764163913
scaled_5bp_nofunding_equity,-0.01618467960032699,-0.05186261764163769
