model,signal,entry_time,exit_time,gross,turnover,price_pnl,fee,slippage,funding,net_pnl,reason
B1,ADAUSDT,2026-03-02 00:16:00+00:00,2026-03-02 00:56:00+00:00,20000.0,40250.50965456071,-43.39188842239389,28.175356758192496,0.0,,-71.56724518058638,mean
B1,XLMUSDT,2026-03-02 00:26:00+00:00,2026-03-02 01:01:00+00:00,20000.0,40151.08439161256,-14.87995198550243,28.10575907412879,0.0,,-42.98571105963122,mean
B1,BNBUSDT,2026-03-02 00:31:00+00:00,2026-03-02 02:11:00+00:00,20000.0,40034.06311184565,-13.973239988166142,28.02384417829196,0.0,,-41.997084166458095,mean
B1,BCHUSDT,2026-03-02 02:26:00+00:00,2026-03-02 03:11:00+00:00,20000.0,39978.060923257945,-43.53539044276499,27.98464264628056,0.0,,-71.52003308904555,mean
B1,NEARUSDT,2026-03-02 03:26:00+00:00,2026-03-02 04:56:00+00:00,20000.0,39882.94554756583,-66.89203586014116,27.918061883296083,0.0,,-94.81009774343724,mean
B1,NEARUSDT,2026-03-02 05:46:00+00:00,2026-03-02 07:31:00+00:00,20000.0,39593.940034487365,-37.65408543230507,27.71575802414116,0.0,,-65.36984345644622,mean
B1,ADAUSDT,2026-03-02 06:16:00+00:00,2026-03-02 08:36:00+00:00,20000.0,39701.29294295564,-6.309396225646651,27.790905060068948,0.0,,-34.1003012857156,mean
B1,TRXUSDT,2026-03-02 07:11:00+00:00,2026-03-02 08:56:00+00:00,20000.0,40087.29726578057,-54.52789801565382,28.0611080860464,0.0,,-82.58900610170022,mean
B1,LTCUSDT,2026-03-02 08:36:00+00:00,2026-03-02 09:01:00+00:00,20000.0,40140.60928984192,-20.240660915823355,28.09842650288934,0.0,,-48.33908741871269,mean
B1,BCHUSDT,2026-03-02 07:41:00+00:00,2026-03-02 09:21:00+00:00,20000.0,40108.41887476712,-12.17776122146438,28.07589321233698,0.0,,-40.25365443380136,mean
B1,HBARUSDT,2026-03-02 09:36:00+00:00,2026-03-02 10:11:00+00:00,20000.0,39965.78164261641,-28.0619855387306,27.97604714983149,0.0,,-56.03803268856208,mean
B1,LTCUSDT,2026-03-02 11:21:00+00:00,2026-03-02 13:26:00+00:00,20000.0,40068.56565324103,-6.594061152066729,28.04799595726872,0.0,,-34.642057109335454,mean
B1,BCHUSDT,2026-03-02 13:36:00+00:00,2026-03-02 14:06:00+00:00,20000.0,39927.4290004884,-44.40919515427299,27.949200300341875,0.0,,-72.35839545461486,mean
B1,NEARUSDT,2026-03-02 13:11:00+00:00,2026-03-02 15:36:00+00:00,20000.0,40934.58400403985,48.21697876113944,28.65420880282789,0.0,,19.562769958311552,mean
B1,BTCUSDT,2026-03-02 13:46:00+00:00,2026-03-02 16:16:00+00:00,20000.0,41146.44775798031,-44.692115638159294,28.802513430586213,0.0,,-73.49462906874551,mean
B1,TRXUSDT,2026-03-02 15:46:00+00:00,2026-03-02 17:41:00+00:00,20000.0,39845.75183910772,-100.52082711122443,27.8920262873754,0.0,,-128.41285339859985,mean
