model,signal,entry_time,exit_time,gross,turnover,price_pnl,fee,slippage,funding,net_pnl,reason
B1,ADAUSDT,2026-03-02 00:16:00+00:00,2026-03-02 00:56:00+00:00,20000.0,40250.50965456071,-43.39188842239389,0.0,0.0,,-43.39188842239389,mean
B1,XLMUSDT,2026-03-02 00:26:00+00:00,2026-03-02 01:01:00+00:00,20000.0,40151.08439161256,-14.87995198550243,0.0,0.0,,-14.87995198550243,mean
B1,BNBUSDT,2026-03-02 00:31:00+00:00,2026-03-02 02:11:00+00:00,20000.0,40034.06311184565,-13.973239988166142,0.0,0.0,,-13.973239988166142,mean
B1,BCHUSDT,2026-03-02 02:26:00+00:00,2026-03-02 03:11:00+00:00,20000.0,39978.060923257945,-43.53539044276499,0.0,0.0,,-43.53539044276499,mean
B1,NEARUSDT,2026-03-02 03:26:00+00:00,2026-03-02 04:56:00+00:00,20000.0,39882.94554756583,-66.89203586014116,0.0,0.0,,-66.89203586014116,mean
B1,NEARUSDT,2026-03-02 05:46:00+00:00,2026-03-02 07:31:00+00:00,20000.0,39593.940034487365,-37.65408543230507,0.0,0.0,,-37.65408543230507,mean
B1,ADAUSDT,2026-03-02 06:16:00+00:00,2026-03-02 08:36:00+00:00,20000.0,39701.29294295564,-6.309396225646651,0.0,0.0,,-6.309396225646651,mean
B1,TRXUSDT,2026-03-02 07:11:00+00:00,2026-03-02 08:56:00+00:00,20000.0,40087.29726578057,-54.52789801565382,0.0,0.0,,-54.52789801565382,mean
B1,LTCUSDT,2026-03-02 08:36:00+00:00,2026-03-02 09:01:00+00:00,20000.0,40140.60928984192,-20.240660915823355,0.0,0.0,,-20.240660915823355,mean
B1,BCHUSDT,2026-03-02 07:41:00+00:00,2026-03-02 09:21:00+00:00,20000.0,40108.41887476712,-12.17776122146438,0.0,0.0,,-12.17776122146438,mean
B1,HBARUSDT,2026-03-02 09:36:00+00:00,2026-03-02 10:11:00+00:00,20000.0,39965.78164261641,-28.0619855387306,0.0,0.0,,-28.0619855387306,mean
B1,LTCUSDT,2026-03-02 11:21:00+00:00,2026-03-02 13:26:00+00:00,20000.0,40068.56565324103,-6.594061152066729,0.0,0.0,,-6.594061152066729,mean
B1,BCHUSDT,2026-03-02 13:36:00+00:00,2026-03-02 14:06:00+00:00,20000.0,39927.4290004884,-44.40919515427299,0.0,0.0,,-44.40919515427299,mean
B1,NEARUSDT,2026-03-02 13:11:00+00:00,2026-03-02 15:36:00+00:00,20000.0,40934.58400403985,48.21697876113944,0.0,0.0,,48.21697876113944,mean
B1,BTCUSDT,2026-03-02 13:46:00+00:00,2026-03-02 16:16:00+00:00,20000.0,41146.44775798031,-44.692115638159294,0.0,0.0,,-44.692115638159294,mean
B1,TRXUSDT,2026-03-02 15:46:00+00:00,2026-03-02 17:41:00+00:00,20000.0,39845.75183910772,-100.52082711122443,0.0,0.0,,-100.52082711122443,mean
B1,ADAUSDT,2026-03-02 17:41:00+00:00,2026-03-02 17:56:00+00:00,20000.0,40062.94442744198,-37.05557255801489,0.0,0.0,,-37.05557255801489,mean
B1,LTCUSDT,2026-03-02 15:01:00+00:00,2026-03-02 18:46:00+00:00,20000.0,40315.10955398565,78.29179265355208,0.0,0.0,,78.29179265355208,mean
B1,AAVEUSDT,2026-03-02 16:16:00+00:00,2026-03-02 19:56:00+00:00,20000.0,39696.9136011954,-3.280283818658063,0.0,0.0,,-3.280283818658063,mean
