time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
2026-03-01 00:00:00+00:00,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100147.39068632945,100000.0,100017.98761486741,100000.0,100005.45596909855,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2026-03-02 00:00:00+00:00,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98558.5431945579,100000.0,99737.34487156864,100000.0,99877.62439327843,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2026-03-03 00:00:00+00:00,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98239.82286799619,100000.0,99739.79526989002,100000.0,99665.74495401901,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2026-03-04 00:00:00+00:00,99163.18586336606,99391.50094557028,99433.28383338002,99478.1441930045,99656.22616703917,99852.73155636969,99541.61723788583,99488.88874684015,99860.5789687181,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,97661.33080436906,100000.0,99369.3087370227,100000.0,99219.38639547453,100000.0,100000.0,100000.0,100000.0,100000.0,99238.47757937241,99748.29765681872,99623.43721489188,99253.0811326856,99522.53691923752,99738.20596177696,99668.5583450492,99420.34417256629,99579.50370360514,99680.34991923887,99808.90655601039,99643.47499703632,99804.86394423046,99832.55239201183,99843.09217422706,99814.68996077772,99492.2116964141,99492.46314933855,99763.3502743076,99517.16650182386,99794.24590716486,99887.91466960004,99873.57043160593,99855.20951222137,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99224.69704318291,99602.14945119698,99596.37665405594,99666.39281691182,100000.0,100000.0
2026-03-05 00:00:00+00:00,99804.78347300125,99641.28952429644,99536.23236155223,99648.97131432549,99835.83886653966,99919.76512443674,99870.52965462088,99652.23091805636,99940.07850386905,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98214.63674020422,100000.0,99220.69617853705,100000.0,99374.78391401806,100000.0,100000.0,100000.0,100000.0,100000.0,99473.45039050086,100057.1886023775,99761.91213373393,99559.3450691476,99564.29977892434,99713.32115559303,99643.93666129599,99551.6480266211,99654.16579299723,99768.90010236592,99923.90733003133,99751.17153246807,99827.91139587954,100043.18588341367,99843.09217422706,99920.67936836624,99636.5273722872,99673.8027695519,99887.60667815949,99636.62232462414,99871.61648615227,100031.66232922653,99873.57043160593,99994.07515657877,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99426.05782380108,99622.42561652085,99725.69998910809,99810.93298407191,100000.0,100000.0
2026-03-06 00:00:00+00:00,99657.40252294345,99523.5453595676,99478.06721331792,99625.6044670081,99839.40128305406,100018.16758300537,100005.16783218074,99662.25091123383,99990.2770919668,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98327.60553408012,100000.0,99209.35309946947,100000.0,99319.04983676417,100000.0,100000.0,100000.0,100000.0,100000.0,99320.96084063682,99979.27747136267,99605.92098520447,99441.69773658013,99508.30918446842,99820.43001969552,99740.97835224791,99544.17744639347,99704.33994041377,99798.70838191426,99939.05103664458,99736.67702668026,99902.27495812118,100040.92939629941,99843.09217422706,99967.88885171205,99669.84150434713,99680.75887562142,99885.42740476204,99605.67563307355,99946.01260508226,100046.6057092184,99873.57043160593,100041.31931720319,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99376.57968685943,99542.2050170098,99712.63398489966,99887.60582458042,100000.0,100000.0
2026-03-07 00:00:00+00:00,99825.19933413742,99623.91016741736,99478.06721331792,99685.40402684489,99896.3033947654,100054.50054511167,100064.20912547824,99720.99952117099,100067.2014850443,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98736.14223579988,100000.0,99242.68113951142,100000.0,99398.91426144012,100000.0,100000.0,100000.0,100000.0,100000.0,99431.08354622814,100080.22184500849,99706.48839836814,99593.18775147709,99508.30918446842,99820.43001969552,99740.97835224791,99544.17744639347,99752.54908785164,99854.25996666063,99956.5700076013,99772.8565204718,99935.49537474482,100040.92939629941,99843.09217422706,99982.94601305044,99718.03397106487,99738.72443915594,99905.41534287618,99646.38907659153,99990.43499853737,100046.6057092184,99873.57043160593,100061.20557133647,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99556.65123508371,99630.95503712576,99782.74686166433,99943.56078616052,100000.0,100000.0
2026-03-08 00:00:00+00:00,100357.4736442478,99937.13427773947,99540.00569290896,99834.36075512967,99896.29573528103,100159.54634236892,100212.10931703317,99754.06189956403,100179.34162287645,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98974.66638723554,100040.79388155854,99146.82191748577,99997.00389561676,99415.39390784701,100064.90279246696,100000.0,100000.0,100156.78545694926,100000.0,99623.10201347712,100030.3632430123,99656.81598527945,100006.18003546493,99530.47658737712,99820.43001969552,99740.97835224791,99616.89805346818,99809.07978771607,99926.7872231417,99990.87764976625,99857.23701566573,99990.18921530264,100040.92939629941,99843.09217422706,100116.87719109302,99767.8840528265,99825.11519238856,99951.0665833215,99710.0333819883,100046.620703373,100046.6057092184,99873.57043160593,100208.98451796986,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99780.44051089717,99793.19160325472,99831.08383060843,99972.1526379402,100000.0,100000.0
2026-03-09 00:00:00+00:00,101573.74589307679,101230.5917842916,100366.50096158955,99662.8167960189,99697.09222988092,100133.52040241857,100113.11750336006,99703.48412947572,100166.03829511159,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99737.04578995924,100902.62986621172,99171.0896806072,99904.37871043639,99368.33040861011,99993.52265837845,100000.0,100000.0,100637.26160671197,100000.0,100728.87982306932,100546.06231122832,100138.74905068238,100991.56475373503,100084.77903527596,100118.0489273072,99995.63567816207,100444.03174596427,99704.19491255796,99799.56195238787,99941.69517153258,99538.60289714742,99936.07796837077,99848.12357859092,99898.97114027399,100090.22611827527,99700.52186387886,99683.67607140073,99985.6104826157,99374.7657129182,99964.65361238483,100129.17029741978,99944.72473841193,100215.23924013364,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100663.39006820087,101185.49510255197,99731.02288495825,99785.60872537064,100000.0,100000.0
2026-03-10 00:00:00+00:00,102032.20183517126,102291.25513563599,101586.26469252269,99370.84999348847,99586.40525530692,99605.53165119125,99668.07646832475,99384.28904940406,99881.89765378545,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98981.73983943654,100701.16132201064,98857.64292247435,99795.35839465285,99068.54948266222,99615.62831320781,100000.0,100000.0,101296.37221547298,100000.0,101389.81990449128,101097.3100499638,100863.45139029119,101780.96419931938,101340.24593104809,100790.44872243858,100550.46803468745,100875.01511722025,99442.75236602318,99620.0756817266,99901.08684862561,99077.78082326001,99756.11896751593,99526.2446272874,99748.95960236766,99811.76005906067,99533.06198557292,99389.20924806964,99890.56280445018,99112.98784067156,99465.30081000055,100107.00417635731,99859.89764416452,99982.6028727124,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,101309.58430895593,102195.43081260887,99494.98976443642,99559.33910344547,100000.0,100000.0
